               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.028846,            0.010748,            0.002692,             0.95679,             0.95569,             0.97455,             0.66052,             0.02101,           0.0055338,           0.0014937,            0.006535,            0.006535,            0.006535
                  37,            0.029215,            0.011067,           0.0024524,             0.96644,             0.94936,             0.97928,              0.6714,            0.020982,           0.0056857,           0.0011613,            0.006436,            0.006436,            0.006436
                  38,            0.029212,            0.011039,           0.0026667,             0.95294,             0.95647,             0.97486,             0.67018,            0.021233,           0.0056297,           0.0014926,            0.006337,            0.006337,            0.006337
                  39,            0.029402,            0.010894,           0.0024879,             0.95732,             0.95783,             0.97852,             0.67392,             0.02089,           0.0054779,            0.001123,            0.006238,            0.006238,            0.006238
                  40,            0.028854,            0.010894,           0.0026643,             0.95042,             0.94567,             0.97771,             0.66434,            0.021414,           0.0056481,           0.0016337,            0.006139,            0.006139,            0.006139
                  41,            0.028912,            0.010867,            0.002591,             0.95365,             0.94795,             0.97577,             0.66956,            0.021245,           0.0056558,           0.0015294,             0.00604,             0.00604,             0.00604
                  42,            0.029173,            0.010939,           0.0025195,             0.95773,             0.96426,             0.97744,             0.65764,            0.021355,           0.0055283,           0.0012467,            0.005941,            0.005941,            0.005941
                  43,            0.028316,            0.010727,           0.0024694,             0.95512,             0.95987,             0.97482,             0.66302,            0.021017,           0.0054778,           0.0017412,            0.005842,            0.005842,            0.005842
                  44,            0.028398,            0.010691,           0.0023084,             0.96092,             0.96006,             0.97919,             0.66942,            0.021288,           0.0054601,           0.0011227,            0.005743,            0.005743,            0.005743
                  45,            0.027778,            0.010635,           0.0022475,             0.96638,             0.95792,             0.97836,             0.67807,            0.020728,           0.0054058,           0.0017435,            0.005644,            0.005644,            0.005644
                  46,             0.02804,            0.010702,           0.0021891,             0.96965,             0.94869,             0.97836,             0.68445,            0.020392,            0.005396,           0.0016873,            0.005545,            0.005545,            0.005545
                  47,            0.027588,            0.010498,             0.00202,             0.96065,             0.95988,             0.97924,             0.67503,            0.020487,           0.0053923,           0.0014285,            0.005446,            0.005446,            0.005446
                  48,            0.028031,            0.010514,           0.0024197,             0.97125,              0.9555,             0.97828,             0.68515,            0.020535,           0.0053815,            0.001334,            0.005347,            0.005347,            0.005347
                  49,            0.027804,            0.010571,           0.0025411,             0.96958,             0.95585,             0.97713,              0.6796,            0.020665,           0.0054431,           0.0011589,            0.005248,            0.005248,            0.005248
                  50,            0.027409,            0.010551,           0.0021307,             0.95946,             0.96284,             0.97862,              0.6787,            0.020334,           0.0053456,            0.001196,            0.005149,            0.005149,            0.005149
                  51,              0.0275,             0.01048,           0.0023802,             0.96837,             0.94666,             0.98017,             0.68485,            0.020462,           0.0054215,           0.0017707,             0.00505,             0.00505,             0.00505
                  52,            0.027409,            0.010513,           0.0019111,             0.97059,             0.95993,             0.98129,              0.6874,             0.02027,           0.0053598,            0.001271,            0.004951,            0.004951,            0.004951
                  53,            0.027747,            0.010314,           0.0021409,             0.96377,             0.95262,             0.97888,             0.68107,            0.020464,           0.0053802,           0.0014346,            0.004852,            0.004852,            0.004852
                  54,            0.027272,            0.010691,           0.0023594,             0.96395,             0.95982,             0.97825,             0.68368,            0.020341,           0.0053946,           0.0015294,            0.004753,            0.004753,            0.004753
                  55,            0.026742,            0.010373,           0.0022481,             0.96736,              0.9566,             0.98106,              0.6771,            0.020663,           0.0053539,           0.0010344,            0.004654,            0.004654,            0.004654
                  56,            0.027188,            0.010541,           0.0019911,             0.96727,             0.95947,             0.97791,             0.68447,            0.020447,           0.0053694,           0.0012671,            0.004555,            0.004555,            0.004555
                  57,            0.026939,            0.010407,           0.0020919,             0.96806,             0.95882,             0.97823,             0.69105,            0.020148,           0.0052835,           0.0014597,            0.004456,            0.004456,            0.004456
                  58,            0.026453,            0.010376,           0.0022079,             0.97051,             0.95712,             0.97915,             0.68348,            0.020553,            0.005377,           0.0013671,            0.004357,            0.004357,            0.004357
                  59,            0.026277,            0.010363,           0.0020844,             0.95018,             0.95503,             0.97301,             0.68605,            0.019969,           0.0052599,           0.0027646,            0.004258,            0.004258,            0.004258
                  60,            0.026643,            0.010192,           0.0019831,             0.96507,             0.96491,             0.97841,             0.69469,            0.020079,           0.0052634,           0.0014276,            0.004159,            0.004159,            0.004159
                  61,            0.026955,             0.01024,           0.0022041,             0.97308,             0.96195,             0.98136,             0.69417,            0.020259,           0.0052405,           0.0012622,             0.00406,             0.00406,             0.00406
                  62,            0.026344,            0.010176,            0.001871,             0.96813,             0.96296,             0.97873,             0.69186,            0.019841,           0.0052301,           0.0016528,            0.003961,            0.003961,            0.003961
                  63,            0.025994,            0.010339,           0.0019162,             0.96758,             0.96524,             0.98095,             0.69237,            0.020276,           0.0051451,            0.001334,            0.003862,            0.003862,            0.003862
                  64,            0.025957,            0.009995,            0.001772,             0.97095,             0.95015,             0.98053,             0.69859,            0.020247,           0.0051548,           0.0015473,            0.003763,            0.003763,            0.003763
                  65,            0.026519,            0.010162,           0.0015774,             0.96745,             0.96579,             0.98188,             0.69705,             0.01992,           0.0051687,           0.0013727,            0.003664,            0.003664,            0.003664
                  66,            0.025983,            0.010203,           0.0015758,             0.97296,             0.95616,             0.98312,             0.69362,            0.019898,           0.0051718,           0.0014482,            0.003565,            0.003565,            0.003565
                  67,             0.02586,           0.0099631,           0.0015967,             0.97187,             0.96234,             0.98319,             0.70048,            0.019799,           0.0051107,           0.0014496,            0.003466,            0.003466,            0.003466
                  68,            0.025528,           0.0097669,           0.0018292,             0.96736,             0.95734,             0.98348,             0.69497,            0.019784,           0.0051884,           0.0014612,            0.003367,            0.003367,            0.003367
                  69,            0.025857,           0.0099323,           0.0018766,             0.97175,             0.96457,             0.98183,             0.69758,            0.019992,           0.0052025,           0.0011325,            0.003268,            0.003268,            0.003268
                  70,            0.025404,           0.0099883,           0.0017291,             0.96303,             0.96754,             0.98371,             0.69248,            0.019782,           0.0051706,           0.0014753,            0.003169,            0.003169,            0.003169
                  71,            0.025015,           0.0098871,           0.0015614,             0.97074,             0.95261,             0.97978,             0.69552,            0.019782,           0.0051659,           0.0014553,             0.00307,             0.00307,             0.00307
                  72,            0.025628,           0.0098604,           0.0018403,             0.97287,             0.95715,             0.98174,             0.69891,            0.019891,           0.0051557,           0.0011881,            0.002971,            0.002971,            0.002971
                  73,            0.025181,           0.0096713,            0.001672,             0.96958,             0.95282,             0.97905,             0.69892,            0.019815,           0.0051338,           0.0020773,            0.002872,            0.002872,            0.002872
                  74,            0.024984,           0.0096989,           0.0014842,             0.97194,             0.95465,              0.9826,             0.69776,            0.019736,           0.0051153,           0.0014552,            0.002773,            0.002773,            0.002773
                  75,            0.025476,           0.0097681,           0.0016853,             0.96858,             0.96279,             0.98303,             0.70007,            0.019586,           0.0050667,           0.0015469,            0.002674,            0.002674,            0.002674
                  76,            0.024774,           0.0097033,           0.0013799,             0.97141,             0.95603,             0.98231,             0.70079,             0.01971,           0.0051278,           0.0013702,            0.002575,            0.002575,            0.002575
                  77,            0.024948,           0.0096725,           0.0013113,             0.97116,             0.96229,             0.98343,             0.70353,            0.019486,           0.0051205,            0.001527,            0.002476,            0.002476,            0.002476
                  78,            0.024823,           0.0097767,           0.0012437,             0.98004,             0.95869,             0.98144,             0.70132,            0.019609,           0.0051713,            0.001562,            0.002377,            0.002377,            0.002377
                  79,            0.024704,           0.0097237,           0.0013063,             0.97939,             0.96085,             0.98351,             0.70493,            0.019386,           0.0051177,           0.0015901,            0.002278,            0.002278,            0.002278
                  80,            0.024589,            0.009552,           0.0012645,             0.97281,             0.96291,             0.98412,             0.70731,             0.01939,           0.0051331,           0.0017197,            0.002179,            0.002179,            0.002179
                  81,            0.024556,           0.0094431,           0.0011758,             0.97053,             0.96461,             0.98293,             0.70333,            0.019491,           0.0051429,           0.0012688,             0.00208,             0.00208,             0.00208
                  82,            0.024247,           0.0096378,           0.0011954,             0.97122,             0.96159,             0.98238,             0.70967,            0.019395,           0.0051895,           0.0014223,            0.001981,            0.001981,            0.001981
                  83,            0.024465,            0.009586,           0.0012461,             0.97134,             0.95834,              0.9817,             0.70258,              0.0196,           0.0051919,           0.0013859,            0.001882,            0.001882,            0.001882
                  84,            0.024486,           0.0094581,           0.0012445,             0.97391,             0.96241,              0.9799,              0.7046,            0.019606,           0.0051654,           0.0014209,            0.001783,            0.001783,            0.001783
                  85,            0.024141,           0.0094863,            0.001515,             0.97219,             0.96168,             0.98184,             0.70144,            0.019569,           0.0051602,            0.001594,            0.001684,            0.001684,            0.001684
                  86,            0.023627,           0.0094375,           0.0012684,             0.97175,             0.95974,             0.98006,             0.70059,            0.019613,           0.0051359,           0.0016385,            0.001585,            0.001585,            0.001585
                  87,            0.023924,            0.009503,           0.0010413,             0.97733,             0.96152,             0.98058,             0.70181,            0.019561,           0.0051224,           0.0011957,            0.001486,            0.001486,            0.001486
                  88,             0.02396,           0.0094648,           0.0010916,             0.97343,              0.9608,             0.98243,             0.70175,            0.019378,           0.0051244,           0.0012827,            0.001387,            0.001387,            0.001387
                  89,            0.023611,           0.0093064,           0.0010144,             0.97841,             0.96348,             0.98418,              0.7036,            0.019266,           0.0051118,           0.0012682,            0.001288,            0.001288,            0.001288
                  90,            0.023572,           0.0093345,           0.0012478,             0.97032,             0.96664,             0.98224,             0.70198,            0.019436,           0.0051214,           0.0012127,            0.001189,            0.001189,            0.001189
                  91,            0.023636,           0.0093193,           0.0010332,             0.97858,             0.96075,             0.98397,             0.70539,            0.019415,           0.0051066,           0.0011145,             0.00109,             0.00109,             0.00109
                  92,            0.023495,           0.0092791,            0.001132,             0.98043,             0.96162,             0.98301,             0.70724,            0.019338,           0.0051232,           0.0011406,            0.000991,            0.000991,            0.000991
                  93,              0.0235,           0.0094215,          0.00098648,             0.97971,              0.9593,             0.98309,             0.70882,            0.019354,           0.0051094,           0.0011604,            0.000892,            0.000892,            0.000892
                  94,            0.023018,           0.0093712,          0.00089896,             0.97637,             0.95604,             0.98371,             0.70825,            0.019391,           0.0051102,            0.001353,            0.000793,            0.000793,            0.000793
                  95,            0.023192,           0.0091887,          0.00098877,             0.96664,             0.96057,             0.98275,             0.70308,            0.019446,           0.0051292,           0.0015313,            0.000694,            0.000694,            0.000694
                  96,             0.02295,           0.0091482,           0.0012509,             0.97296,             0.95645,             0.98212,              0.7058,            0.019442,           0.0051152,           0.0017558,            0.000595,            0.000595,            0.000595
                  97,            0.023072,           0.0091387,          0.00098982,             0.97091,             0.95749,             0.98181,             0.70599,            0.019424,           0.0051289,           0.0016389,            0.000496,            0.000496,            0.000496
                  98,            0.022899,           0.0092321,           0.0012431,             0.97332,             0.95473,             0.98225,             0.70423,            0.019415,           0.0051345,           0.0016283,            0.000397,            0.000397,            0.000397
                  99,            0.022896,           0.0090473,            0.001089,             0.96973,             0.96037,             0.98259,             0.70622,            0.019379,           0.0051341,              0.0016,            0.000298,            0.000298,            0.000298
