epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.789,3.001,12.7585,3.42477,0.74911,0.27121,0.3166,0.13439,3.69456,7.20126,3.83592,0.000415,0.000415,0.000415
2,156.55,3.12136,8.39098,3.4669,0.67453,0.37389,0.47307,0.23156,3.20136,2.94825,3.29623,0.000823433,0.000823433,0.000823433
3,214.039,3.22872,5.6373,3.51508,0.59902,0.26722,0.34326,0.15411,3.66514,4.22239,3.78433,0.00122362,0.00122362,0.00122362
4,271.505,3.21771,4.37947,3.50954,0.5609,0.45261,0.46583,0.20997,3.48708,3.27449,3.53706,0.00121287,0.00121287,0.00121287
5,329.081,3.23617,3.78045,3.50192,0.57426,0.50577,0.51474,0.23622,3.40599,2.6667,3.39552,0.0012005,0.0012005,0.0012005
6,386.332,3.1303,3.3582,3.36614,0.59485,0.55474,0.57523,0.25188,3.39459,2.30104,3.36316,0.00118812,0.00118812,0.00118812
7,443.313,3.09574,3.15782,3.34195,0.57391,0.63126,0.64581,0.36775,2.90018,2.08228,2.94513,0.00117575,0.00117575,0.00117575
8,500.531,3.04427,3.03934,3.30808,0.74196,0.48494,0.5861,0.31758,2.96062,2.21976,3.04295,0.00116337,0.00116337,0.00116337
9,558.063,3.03171,2.92051,3.28212,0.69895,0.67983,0.74483,0.37167,3.27592,1.89153,3.13454,0.001151,0.001151,0.001151
10,615.371,2.93953,2.70349,3.18593,0.72597,0.62583,0.70622,0.37456,3.1762,1.78636,3.0808,0.00113863,0.00113863,0.00113863
11,673.111,2.9414,2.72963,3.20249,0.71603,0.73875,0.80546,0.47721,2.75909,1.65532,2.85034,0.00112625,0.00112625,0.00112625
12,730.693,2.85893,2.53665,3.13905,0.75118,0.69361,0.77281,0.42978,2.90086,1.59641,2.89019,0.00111388,0.00111388,0.00111388
13,788.209,2.86177,2.45015,3.12253,0.69179,0.71655,0.77559,0.46364,2.70035,1.48888,2.77766,0.0011015,0.0011015,0.0011015
14,845.383,2.82565,2.40426,3.09358,0.7159,0.74717,0.77688,0.47855,2.58713,1.55953,2.75267,0.00108913,0.00108913,0.00108913
15,903.218,2.80058,2.41917,3.06875,0.76973,0.70135,0.79008,0.45752,2.86072,1.57878,2.86365,0.00107675,0.00107675,0.00107675
16,961.001,2.72811,2.27553,3.02418,0.72663,0.66342,0.7654,0.47913,2.5907,1.53869,2.75414,0.00106437,0.00106437,0.00106437
17,1018.43,2.81465,2.41507,3.08306,0.8442,0.69795,0.83632,0.51946,2.60561,1.44997,2.72855,0.001052,0.001052,0.001052
18,1075.46,2.72445,2.22711,3.01615,0.79088,0.81725,0.86061,0.52595,2.59505,1.43496,2.76716,0.00103962,0.00103962,0.00103962
19,1132.74,2.71801,2.17664,3.02747,0.78711,0.75358,0.83378,0.54634,2.46183,1.42501,2.70056,0.00102725,0.00102725,0.00102725
20,1190.67,2.77755,2.19264,3.06693,0.79233,0.81016,0.8701,0.55253,2.52582,1.4159,2.71695,0.00101488,0.00101488,0.00101488
21,1248.71,2.75443,2.13,3.01264,0.81347,0.7533,0.82941,0.53634,2.51227,1.35237,2.69637,0.0010025,0.0010025,0.0010025
22,1305.93,2.67038,2.09092,2.9688,0.84347,0.7238,0.84182,0.53591,2.45492,1.33346,2.68384,0.000990125,0.000990125,0.000990125
23,1363.82,2.65789,2.08394,2.97215,0.83053,0.80892,0.88466,0.56839,2.4239,1.25468,2.65519,0.00097775,0.00097775,0.00097775
24,1421.13,2.61502,2.02235,2.93389,0.87769,0.7241,0.85282,0.51379,2.77061,1.4026,2.79496,0.000965375,0.000965375,0.000965375
25,1478.41,2.62691,2.0015,2.93216,0.91,0.77524,0.87962,0.56723,2.51299,1.28351,2.65918,0.000953,0.000953,0.000953
26,1535.92,2.60191,2.02289,2.92686,0.82022,0.83268,0.88297,0.57407,2.43787,1.24382,2.65056,0.000940625,0.000940625,0.000940625
27,1593.27,2.59389,1.96038,2.93482,0.77992,0.8296,0.86766,0.5644,2.44941,1.21979,2.62146,0.00092825,0.00092825,0.00092825
28,1650.32,2.58381,1.91516,2.90342,0.84751,0.8498,0.89383,0.56989,2.59993,1.23308,2.67373,0.000915875,0.000915875,0.000915875
29,1707.29,2.60316,1.91954,2.92327,0.82362,0.80838,0.86714,0.56326,2.46739,1.19679,2.62182,0.0009035,0.0009035,0.0009035
30,1764.54,2.56981,1.88817,2.90423,0.86168,0.75197,0.88014,0.512,2.85637,1.28443,2.83244,0.000891125,0.000891125,0.000891125
31,1821.95,2.55209,1.91033,2.91216,0.88571,0.77071,0.88813,0.59565,2.37922,1.17268,2.5799,0.00087875,0.00087875,0.00087875
32,1879.43,2.50941,1.83281,2.86846,0.85002,0.81745,0.87695,0.58647,2.39904,1.1872,2.58179,0.000866375,0.000866375,0.000866375
33,1936.91,2.52968,1.85434,2.88121,0.906,0.82796,0.91848,0.61037,2.33837,1.05731,2.53349,0.000854,0.000854,0.000854
34,1994.61,2.51742,1.86937,2.87419,0.86374,0.84638,0.88754,0.59958,2.34784,1.10423,2.54822,0.000841625,0.000841625,0.000841625
35,2051.38,2.4987,1.80646,2.83884,0.90067,0.83076,0.91445,0.59906,2.39501,1.0706,2.54251,0.00082925,0.00082925,0.00082925
36,2108.95,2.45607,1.78235,2.83096,0.85342,0.83755,0.89959,0.58949,2.43416,1.12761,2.56315,0.000816875,0.000816875,0.000816875
37,2166.42,2.4494,1.78358,2.82517,0.87137,0.85924,0.91627,0.61688,2.37514,1.08794,2.57828,0.0008045,0.0008045,0.0008045
