epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.9227,1.09992,8.46084,0.01682,0.72029,0.73158,0.80333,0.53404,1.18427,2.87411,0.01776,0.000474443,0.000474443,0.000474443
2,65.5708,1.18197,3.52754,0.01856,0.81075,0.77579,0.88105,0.56669,1.25427,0.8692,0.02025,0.000941364,0.000941364,0.000941364
3,93.8082,1.19635,1.46094,0.01883,0.77425,0.81595,0.87023,0.55248,1.28415,0.80531,0.02004,0.00139885,0.00139885,0.00139885
4,121.918,1.18833,0.89592,0.0191,0.86462,0.77769,0.88664,0.56662,1.31627,0.81196,0.02142,0.00138656,0.00138656,0.00138656
5,149.882,1.12799,0.68969,0.01782,0.86866,0.84885,0.91626,0.59618,1.27407,0.69546,0.01994,0.00137241,0.00137241,0.00137241
6,177.831,1.09281,0.5903,0.01707,0.88214,0.86214,0.92193,0.60383,1.27453,0.67333,0.02015,0.00135826,0.00135826,0.00135826
7,205.837,1.05307,0.51918,0.01626,0.90768,0.8569,0.92894,0.64126,1.16479,0.64541,0.01763,0.00134412,0.00134412,0.00134412
8,233.697,1.01173,0.4677,0.01547,0.90532,0.87875,0.94574,0.64507,1.19621,0.57461,0.01839,0.00132997,0.00132997,0.00132997
9,261.508,0.9764,0.4379,0.01489,0.89077,0.87347,0.93078,0.63234,1.1816,0.63694,0.0182,0.00131582,0.00131582,0.00131582
10,289.346,0.93833,0.41006,0.01429,0.89284,0.84162,0.92297,0.60021,1.30987,0.66583,0.01966,0.00130168,0.00130168,0.00130168
11,317.878,0.91691,0.36695,0.01384,0.88737,0.88249,0.93745,0.63483,1.18812,0.57736,0.01804,0.00128753,0.00128753,0.00128753
12,345.868,0.88757,0.35566,0.01345,0.91146,0.88144,0.9427,0.64966,1.16913,0.53573,0.01785,0.00127338,0.00127338,0.00127338
13,373.731,0.86157,0.33892,0.01307,0.91348,0.867,0.94328,0.65308,1.15185,0.5685,0.01721,0.00125923,0.00125923,0.00125923
14,401.552,0.83931,0.32275,0.01272,0.90581,0.87023,0.93947,0.64269,1.19867,0.58251,0.01812,0.00124509,0.00124509,0.00124509
15,429.436,0.81317,0.30587,0.01227,0.93888,0.88062,0.9533,0.66112,1.16622,0.55429,0.01807,0.00123094,0.00123094,0.00123094
16,457.299,0.78939,0.30188,0.01189,0.92773,0.87953,0.94678,0.65728,1.13489,0.52013,0.01698,0.00121679,0.00121679,0.00121679
17,485.144,0.76721,0.279,0.01139,0.93185,0.87868,0.94742,0.66404,1.13102,0.54275,0.01697,0.00120265,0.00120265,0.00120265
18,513.109,0.73328,0.26581,0.01103,0.94166,0.86373,0.94712,0.65495,1.15568,0.59617,0.01704,0.0011885,0.0011885,0.0011885
19,540.85,0.70136,0.25503,0.01043,0.91074,0.87796,0.94028,0.661,1.145,0.58068,0.01711,0.00117435,0.00117435,0.00117435
20,569.067,0.69395,0.25237,0.01035,0.9172,0.91006,0.94889,0.67409,1.12224,0.52954,0.01663,0.00116021,0.00116021,0.00116021
21,596.899,0.6809,0.24303,0.01005,0.91636,0.88863,0.93356,0.66399,1.13264,0.60284,0.01707,0.00114606,0.00114606,0.00114606
22,624.571,0.67059,0.24622,0.01001,0.93099,0.90474,0.95371,0.67598,1.12339,0.51834,0.01681,0.00113191,0.00113191,0.00113191
23,652.317,0.65215,0.22342,0.0096,0.94371,0.88739,0.95677,0.67038,1.15564,0.52605,0.0171,0.00111776,0.00111776,0.00111776
24,679.946,0.62736,0.21607,0.00924,0.93375,0.90332,0.95694,0.68031,1.12083,0.5301,0.01666,0.00110362,0.00110362,0.00110362
25,707.57,0.59684,0.21342,0.00878,0.91908,0.90986,0.95301,0.67717,1.12651,0.5407,0.01691,0.00108947,0.00108947,0.00108947
26,735.302,0.58301,0.20483,0.00855,0.93972,0.88541,0.95375,0.6717,1.14458,0.57021,0.01676,0.00107532,0.00107532,0.00107532
27,762.871,0.55819,0.19507,0.00814,0.92604,0.92109,0.95855,0.69306,1.10137,0.51991,0.01613,0.00106118,0.00106118,0.00106118
28,790.627,0.54146,0.19029,0.00795,0.91775,0.91654,0.95795,0.68367,1.11421,0.5459,0.01631,0.00104703,0.00104703,0.00104703
29,819.17,0.53118,0.18665,0.00772,0.95799,0.89228,0.95984,0.68812,1.11445,0.51532,0.01622,0.00103288,0.00103288,0.00103288
30,847.074,0.50061,0.17169,0.00728,0.93448,0.90429,0.95901,0.68139,1.12198,0.55182,0.0165,0.00101873,0.00101873,0.00101873
31,874.907,0.48743,0.17554,0.00709,0.94935,0.90031,0.95919,0.68167,1.12303,0.56,0.0165,0.00100459,0.00100459,0.00100459
32,902.876,0.47452,0.17412,0.0068,0.9623,0.89517,0.95497,0.68077,1.10468,0.58372,0.01613,0.00099044,0.00099044,0.00099044
33,930.792,0.46136,0.16773,0.00671,0.94306,0.91203,0.95707,0.67897,1.11406,0.58282,0.01634,0.000976293,0.000976293,0.000976293
34,958.606,0.44044,0.15742,0.00636,0.95146,0.90427,0.95931,0.68887,1.11818,0.57249,0.01641,0.000962146,0.000962146,0.000962146
35,986.536,0.43267,0.15379,0.00621,0.94033,0.91984,0.961,0.69435,1.09827,0.56127,0.01607,0.000947999,0.000947999,0.000947999
36,1014.4,0.41761,0.14488,0.00605,0.94909,0.90752,0.95702,0.68943,1.10396,0.55117,0.01616,0.000933851,0.000933851,0.000933851
37,1042.33,0.40656,0.14498,0.00584,0.93844,0.91727,0.9599,0.69214,1.09016,0.55011,0.01601,0.000919704,0.000919704,0.000919704
38,1070.62,0.39329,0.14359,0.00572,0.94242,0.90517,0.95446,0.68524,1.1061,0.59394,0.01628,0.000905557,0.000905557,0.000905557
39,1098.48,0.38899,0.14358,0.00555,0.92658,0.92172,0.95841,0.6882,1.10906,0.55307,0.01637,0.00089141,0.00089141,0.00089141
40,1126.22,0.38737,0.13392,0.00559,0.95452,0.91049,0.95858,0.68886,1.10454,0.57299,0.01617,0.000877263,0.000877263,0.000877263
41,1154.04,0.37136,0.1319,0.00535,0.95752,0.90565,0.96096,0.69588,1.10176,0.60297,0.01618,0.000863116,0.000863116,0.000863116
42,1181.81,0.346,0.12328,0.00496,0.94514,0.91252,0.95916,0.6978,1.09986,0.5868,0.0161,0.000848969,0.000848969,0.000848969
43,1209.62,0.34066,0.12127,0.00491,0.94951,0.89907,0.95423,0.68411,1.10516,0.61379,0.01628,0.000834822,0.000834822,0.000834822
44,1237.36,0.34072,0.12151,0.00485,0.94505,0.91216,0.95943,0.68972,1.10148,0.59683,0.0162,0.000820675,0.000820675,0.000820675
45,1265.05,0.32816,0.12147,0.00473,0.95673,0.90311,0.96352,0.69649,1.0968,0.57537,0.01603,0.000806528,0.000806528,0.000806528
46,1292.9,0.30763,0.11061,0.00438,0.94236,0.92202,0.96156,0.69679,1.10134,0.6096,0.01612,0.00079238,0.00079238,0.00079238
47,1321.21,0.30512,0.11744,0.00439,0.9459,0.90491,0.95872,0.69349,1.10445,0.59683,0.01615,0.000778233,0.000778233,0.000778233
48,1349.08,0.29209,0.1116,0.00417,0.95655,0.90737,0.95927,0.69779,1.08499,0.63726,0.01595,0.000764086,0.000764086,0.000764086
49,1376.94,0.29037,0.10991,0.00418,0.95167,0.89551,0.95617,0.69133,1.10407,0.63943,0.01621,0.000749939,0.000749939,0.000749939
50,1404.66,0.28613,0.10631,0.00412,0.93264,0.91337,0.95785,0.68874,1.10418,0.61364,0.01629,0.000735792,0.000735792,0.000735792
51,1432.41,0.27896,0.10433,0.004,0.96238,0.88697,0.96124,0.69858,1.1012,0.62813,0.0162,0.000721645,0.000721645,0.000721645
52,1460.15,0.26942,0.10128,0.00387,0.95504,0.91515,0.96134,0.69685,1.09939,0.59612,0.01597,0.000707498,0.000707498,0.000707498
53,1488,0.26337,0.09723,0.00379,0.95662,0.90182,0.95606,0.6987,1.08406,0.63653,0.01597,0.000693351,0.000693351,0.000693351
54,1515.75,0.2569,0.09647,0.00365,0.95341,0.90344,0.95963,0.70214,1.09237,0.66636,0.01597,0.000679204,0.000679204,0.000679204
55,1543.61,0.25272,0.09456,0.00361,0.93877,0.90688,0.95914,0.69772,1.08925,0.65182,0.01603,0.000665057,0.000665057,0.000665057
56,1571.97,0.23947,0.08998,0.00342,0.95652,0.90597,0.96197,0.69781,1.09396,0.60337,0.01611,0.000650909,0.000650909,0.000650909
57,1599.77,0.23005,0.08636,0.00324,0.94766,0.91981,0.96091,0.70048,1.08999,0.64488,0.01596,0.000636762,0.000636762,0.000636762
58,1627.45,0.21803,0.08323,0.00308,0.95474,0.90378,0.96107,0.69742,1.09689,0.64217,0.01613,0.000622615,0.000622615,0.000622615
59,1655.12,0.21513,0.08034,0.00301,0.95631,0.90271,0.9576,0.70142,1.09427,0.70388,0.0161,0.000608468,0.000608468,0.000608468
60,1682.91,0.21738,0.088,0.00308,0.95157,0.90852,0.96175,0.70093,1.0868,0.65443,0.01593,0.000594321,0.000594321,0.000594321
61,1710.6,0.20901,0.07789,0.00298,0.9581,0.89865,0.95945,0.70197,1.09934,0.64025,0.01611,0.000580174,0.000580174,0.000580174
62,1738.38,0.20484,0.0781,0.00289,0.95908,0.90734,0.95851,0.69918,1.09237,0.61492,0.01597,0.000566027,0.000566027,0.000566027
63,1766.24,0.19843,0.076,0.00279,0.94346,0.92144,0.96078,0.69994,1.09827,0.61503,0.01611,0.00055188,0.00055188,0.00055188
64,1794.07,0.196,0.07518,0.00278,0.93162,0.91959,0.95928,0.70357,1.0882,0.61944,0.01591,0.000537733,0.000537733,0.000537733
65,1824.88,0.18472,0.07405,0.00261,0.9379,0.92271,0.96449,0.70945,1.08448,0.62158,0.01585,0.000523586,0.000523586,0.000523586
66,1856.68,0.18587,0.07039,0.00263,0.94431,0.925,0.95878,0.70547,1.09182,0.62352,0.0159,0.000509438,0.000509438,0.000509438
67,1888.65,0.18273,0.07004,0.00257,0.95014,0.90985,0.95869,0.70384,1.08761,0.61537,0.01588,0.000495291,0.000495291,0.000495291
68,1920.3,0.17308,0.06846,0.00242,0.95184,0.91889,0.95992,0.70316,1.09081,0.62272,0.01595,0.000481144,0.000481144,0.000481144
69,1952.16,0.16724,0.06627,0.00233,0.94069,0.92562,0.96065,0.70583,1.09043,0.63528,0.01586,0.000466997,0.000466997,0.000466997
70,1983.93,0.15906,0.06369,0.00222,0.93162,0.92986,0.95965,0.70134,1.08983,0.64441,0.01585,0.00045285,0.00045285,0.00045285
71,2015.95,0.15979,0.0638,0.00224,0.94356,0.92276,0.96279,0.70372,1.08895,0.63406,0.01589,0.000438703,0.000438703,0.000438703
72,2047.61,0.1508,0.0616,0.00211,0.95178,0.91048,0.95749,0.70183,1.08851,0.65959,0.01584,0.000424556,0.000424556,0.000424556
73,2079.19,0.14821,0.05986,0.00205,0.95837,0.90795,0.95865,0.70367,1.08677,0.64512,0.01587,0.000410409,0.000410409,0.000410409
74,2111.28,0.14417,0.0592,0.00203,0.94438,0.92168,0.95937,0.70397,1.0867,0.63828,0.01583,0.000396262,0.000396262,0.000396262
75,2143.07,0.13953,0.05613,0.00194,0.96032,0.90441,0.96017,0.70333,1.0915,0.64178,0.01592,0.000382115,0.000382115,0.000382115
76,2174.67,0.1368,0.0577,0.00188,0.95401,0.91536,0.96174,0.70363,1.0854,0.65832,0.0158,0.000367967,0.000367967,0.000367967
77,2206.84,0.13288,0.05517,0.00182,0.94429,0.92173,0.95991,0.70553,1.08959,0.6417,0.01591,0.00035382,0.00035382,0.00035382
78,2238.55,0.13176,0.05421,0.00183,0.94856,0.92262,0.96398,0.7041,1.09195,0.63753,0.01593,0.000339673,0.000339673,0.000339673
79,2270.2,0.12612,0.0513,0.00175,0.94463,0.92194,0.95975,0.7018,1.08259,0.66954,0.01576,0.000325526,0.000325526,0.000325526
80,2302.1,0.11955,0.0503,0.00165,0.94325,0.92665,0.95949,0.70393,1.08736,0.65351,0.01587,0.000311379,0.000311379,0.000311379
81,2333.95,0.11651,0.0479,0.00161,0.95851,0.90996,0.96003,0.70283,1.08967,0.67332,0.01586,0.000297232,0.000297232,0.000297232
82,2365.93,0.11432,0.04668,0.0016,0.95015,0.91451,0.95708,0.70398,1.08733,0.66998,0.01585,0.000283085,0.000283085,0.000283085
