epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.7711,1.18315,2.2732,1.21897,0.80375,0.55856,0.67784,0.39433,1.45121,2.23726,1.42175,0.000474443,0.000474443,0.000474443
2,53.8327,1.23698,1.42271,1.25021,0.73199,0.60997,0.7269,0.40571,1.53193,1.56982,1.44112,0.000941364,0.000941364,0.000941364
3,75.9889,1.22568,1.04525,1.23788,0.73857,0.69435,0.75763,0.3851,1.64195,1.4035,1.52251,0.00139885,0.00139885,0.00139885
4,97.2423,1.20085,0.86953,1.21958,0.78205,0.77717,0.86174,0.49391,1.43275,1.09261,1.30629,0.00138656,0.00138656,0.00138656
5,118.376,1.12742,0.76989,1.17438,0.81043,0.72133,0.81543,0.4567,1.56617,1.44363,1.39704,0.00137241,0.00137241,0.00137241
6,139.512,1.0823,0.69978,1.13929,0.8293,0.83983,0.89458,0.54554,1.37185,0.97022,1.25291,0.00135826,0.00135826,0.00135826
7,160.927,1.03164,0.63066,1.10561,0.81646,0.76399,0.85535,0.47168,1.5798,1.15695,1.39339,0.00134412,0.00134412,0.00134412
8,182.428,0.99374,0.59888,1.0854,0.85826,0.83189,0.91698,0.54459,1.42085,0.9588,1.27042,0.00132997,0.00132997,0.00132997
9,203.721,0.95553,0.56985,1.0608,0.83104,0.71434,0.87395,0.50917,1.49473,1.41534,1.34868,0.00131582,0.00131582,0.00131582
10,224.91,0.91147,0.5316,1.03421,0.9371,0.89557,0.95692,0.61396,1.26689,0.68932,1.18621,0.00130168,0.00130168,0.00130168
11,246.105,0.87049,0.50268,1.0121,0.8403,0.81028,0.90396,0.55112,1.35947,0.92499,1.25514,0.00128753,0.00128753,0.00128753
12,267.361,0.84312,0.48851,0.9961,0.91327,0.87345,0.94385,0.60402,1.29118,0.76047,1.2259,0.00127338,0.00127338,0.00127338
13,288.637,0.80834,0.46323,0.97921,0.89423,0.85987,0.93826,0.59684,1.32406,0.86264,1.23587,0.00125923,0.00125923,0.00125923
14,310.033,0.7751,0.452,0.96477,0.91496,0.90097,0.93963,0.5945,1.29917,0.73517,1.22261,0.00124509,0.00124509,0.00124509
15,331.221,0.7537,0.44024,0.9484,0.89911,0.86837,0.9358,0.59309,1.30156,0.80692,1.25483,0.00123094,0.00123094,0.00123094
16,352.462,0.7224,0.41324,0.93311,0.91476,0.87563,0.94178,0.59518,1.28777,0.7328,1.22841,0.00121679,0.00121679,0.00121679
17,373.636,0.69091,0.40244,0.91752,0.86721,0.80665,0.90845,0.53754,1.49373,1.13062,1.36495,0.00120265,0.00120265,0.00120265
18,394.808,0.66417,0.38958,0.90556,0.92104,0.88268,0.93654,0.59765,1.24364,0.69028,1.20857,0.0011885,0.0011885,0.0011885
19,416.014,0.63602,0.37646,0.89135,0.89294,0.87491,0.93421,0.57245,1.31842,0.78556,1.27464,0.00117435,0.00117435,0.00117435
20,437.172,0.6079,0.36655,0.8789,0.91724,0.89626,0.94012,0.60448,1.27903,0.72826,1.2422,0.00116021,0.00116021,0.00116021
21,458.574,0.57674,0.35409,0.86681,0.92878,0.87398,0.93705,0.59176,1.31842,0.78456,1.28824,0.00114606,0.00114606,0.00114606
22,479.787,0.55392,0.33941,0.85686,0.89032,0.87656,0.93665,0.59975,1.28944,0.80514,1.25955,0.00113191,0.00113191,0.00113191
23,500.936,0.53847,0.33717,0.84827,0.90266,0.89552,0.94672,0.60645,1.26948,0.70763,1.26553,0.00111776,0.00111776,0.00111776
24,522.114,0.51565,0.32353,0.84177,0.92755,0.91248,0.95186,0.64557,1.20117,0.67042,1.19303,0.00110362,0.00110362,0.00110362
25,543.246,0.49347,0.31139,0.83145,0.87219,0.83103,0.92177,0.58524,1.34507,0.99225,1.29684,0.00108947,0.00108947,0.00108947
26,564.364,0.47498,0.30313,0.82669,0.87745,0.85622,0.92821,0.60872,1.25829,0.87589,1.24721,0.00107532,0.00107532,0.00107532
27,585.391,0.45464,0.29838,0.81862,0.9253,0.85682,0.93808,0.60385,1.29396,0.78062,1.28275,0.00106118,0.00106118,0.00106118
28,606.71,0.44227,0.28878,0.81315,0.91265,0.85638,0.93195,0.59655,1.28605,0.76889,1.29694,0.00104703,0.00104703,0.00104703
29,627.802,0.42348,0.27974,0.80769,0.91447,0.89099,0.94645,0.60565,1.29214,0.74715,1.30168,0.00103288,0.00103288,0.00103288
30,648.952,0.41025,0.27639,0.80315,0.90397,0.86757,0.94355,0.6115,1.27919,0.81237,1.29323,0.00101873,0.00101873,0.00101873
31,670.088,0.39767,0.27245,0.79829,0.91717,0.87537,0.93746,0.60667,1.27287,0.7457,1.26875,0.00100459,0.00100459,0.00100459
32,691.186,0.38114,0.26009,0.79268,0.92427,0.86835,0.93778,0.60116,1.27867,0.79768,1.29999,0.00099044,0.00099044,0.00099044
33,712.279,0.3746,0.25766,0.79116,0.92914,0.8889,0.95003,0.62594,1.2388,0.69084,1.26523,0.000976293,0.000976293,0.000976293
34,733.424,0.36159,0.24956,0.78765,0.93992,0.89356,0.9473,0.61818,1.21437,0.68269,1.25551,0.000962146,0.000962146,0.000962146
35,754.88,0.35286,0.2457,0.78499,0.937,0.88616,0.95057,0.60887,1.27213,0.68649,1.32006,0.000947999,0.000947999,0.000947999
36,776.156,0.33982,0.23809,0.78074,0.91248,0.88785,0.93552,0.59071,1.28762,0.73698,1.33082,0.000933851,0.000933851,0.000933851
37,797.295,0.32861,0.23112,0.77732,0.91514,0.86124,0.94066,0.61028,1.25016,0.81211,1.28821,0.000919704,0.000919704,0.000919704
