epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3206,2.38732,11.8388,2.41681,0.78259,0.33647,0.47991,0.30065,2.53672,5.84046,2.39107,0.000413333,0.000413333,0.000413333
2,28.6497,2.56891,7.88734,2.43907,0.32789,0.44884,0.30059,0.16092,2.91057,6.29504,2.6766,0.000821783,0.000821783,0.000821783
3,41.8966,2.57352,4.99504,2.41041,0.6453,0.35727,0.47915,0.2476,2.90329,3.25452,2.59944,0.00122198,0.00122198,0.00122198
4,54.9569,2.48153,3.13678,2.3244,0.55737,0.59231,0.55097,0.31869,2.9731,2.8898,2.56679,0.00121287,0.00121287,0.00121287
5,67.9103,2.45375,2.32597,2.30354,0.4599,0.51122,0.40678,0.22237,2.84157,3.85672,2.56469,0.0012005,0.0012005,0.0012005
6,80.9922,2.26792,1.85945,2.19325,0.62151,0.61522,0.65449,0.38086,2.85228,2.33848,2.52486,0.00118812,0.00118812,0.00118812
7,93.7642,2.17492,1.58184,2.12908,0.59782,0.63451,0.6499,0.39207,2.76187,2.00971,2.46988,0.00117575,0.00117575,0.00117575
8,106.459,2.12193,1.46293,2.08918,0.80577,0.65144,0.79434,0.49207,2.59031,1.64393,2.30833,0.00116337,0.00116337,0.00116337
9,119.252,2.03429,1.32329,2.02935,0.59658,0.60511,0.66199,0.41266,2.79857,1.9517,2.41352,0.001151,0.001151,0.001151
10,132.005,1.93753,1.21552,1.98307,0.73748,0.67828,0.72099,0.45384,2.59576,1.83922,2.292,0.00113863,0.00113863,0.00113863
11,144.726,1.81993,1.10981,1.92302,0.75154,0.66967,0.72871,0.47384,2.58039,2.05598,2.35,0.00112625,0.00112625,0.00112625
12,157.519,1.78561,1.07218,1.90206,0.67586,0.61949,0.69202,0.44751,2.57346,2.242,2.3217,0.00111388,0.00111388,0.00111388
13,170.28,1.71424,0.99162,1.87438,0.73128,0.72277,0.76862,0.49576,2.56644,1.66439,2.32009,0.0011015,0.0011015,0.0011015
14,183.017,1.62523,0.93244,1.83269,0.83542,0.69902,0.81596,0.53967,2.51005,1.39593,2.32301,0.00108913,0.00108913,0.00108913
15,195.919,1.56925,0.89174,1.80839,0.69476,0.73906,0.78991,0.513,2.57498,1.51177,2.30883,0.00107675,0.00107675,0.00107675
16,208.675,1.53755,0.8822,1.78755,0.78876,0.65731,0.79852,0.51538,2.58397,1.54435,2.33766,0.00106437,0.00106437,0.00106437
17,221.411,1.45994,0.83291,1.75503,0.82376,0.71012,0.78727,0.50543,2.58334,1.50916,2.35831,0.001052,0.001052,0.001052
18,234.074,1.39603,0.79144,1.73151,0.75223,0.76364,0.81547,0.53036,2.50457,1.47898,2.3215,0.00103962,0.00103962,0.00103962
19,246.766,1.34324,0.7757,1.7087,0.80887,0.70746,0.80382,0.5149,2.62611,1.61731,2.38875,0.00102725,0.00102725,0.00102725
20,259.507,1.29107,0.72882,1.68786,0.81111,0.7417,0.83197,0.55224,2.48155,1.54051,2.29785,0.00101488,0.00101488,0.00101488
21,272.177,1.2191,0.69442,1.6627,0.87453,0.76193,0.86163,0.57093,2.44673,1.40968,2.28887,0.0010025,0.0010025,0.0010025
22,284.872,1.18016,0.67001,1.64557,0.76703,0.76232,0.83287,0.54324,2.56277,1.53287,2.34986,0.000990125,0.000990125,0.000990125
23,297.614,1.13776,0.64461,1.63539,0.80471,0.77357,0.84783,0.5689,2.50272,1.47447,2.35087,0.00097775,0.00097775,0.00097775
24,310.274,1.07917,0.62409,1.61442,0.84861,0.73313,0.82847,0.54704,2.4511,1.49464,2.32836,0.000965375,0.000965375,0.000965375
25,323.041,1.04421,0.61449,1.60597,0.77209,0.71283,0.78746,0.51175,2.55331,1.70625,2.39008,0.000953,0.000953,0.000953
26,335.718,1.02838,0.60797,1.59755,0.79256,0.75764,0.84782,0.54932,2.52525,1.54419,2.36425,0.000940625,0.000940625,0.000940625
27,348.403,0.97862,0.57733,1.58462,0.78934,0.72103,0.8211,0.54323,2.50179,1.62979,2.34001,0.00092825,0.00092825,0.00092825
28,361.165,0.95863,0.56454,1.57779,0.82144,0.72834,0.83052,0.54808,2.48526,1.49061,2.36117,0.000915875,0.000915875,0.000915875
29,373.851,0.91303,0.54533,1.56784,0.82082,0.7597,0.84666,0.56952,2.50695,1.50349,2.35382,0.0009035,0.0009035,0.0009035
30,386.524,0.88125,0.52254,1.55912,0.80485,0.7787,0.8397,0.56155,2.5069,1.47444,2.36521,0.000891125,0.000891125,0.000891125
31,399.289,0.85757,0.52197,1.54725,0.79773,0.75723,0.8367,0.56062,2.51442,1.48408,2.37207,0.00087875,0.00087875,0.00087875
