epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,715.474,1.09043,0.56008,0.0112,0.93087,0.89293,0.94698,0.6486,1.13905,0.45024,0.01539,0.000742625,0.000742625,0.000742625
43,732.291,1.09803,0.56762,0.01121,0.94436,0.90736,0.95084,0.66998,1.0983,0.4415,0.01441,0.00073025,0.00073025,0.00073025
44,749.22,1.09557,0.56109,0.01113,0.94366,0.90005,0.9565,0.68163,1.09708,0.42345,0.01414,0.000717875,0.000717875,0.000717875
45,766.035,1.08998,0.53537,0.01106,0.95848,0.90573,0.95584,0.69295,1.10069,0.41766,0.01437,0.0007055,0.0007055,0.0007055
46,782.809,1.09066,0.53247,0.01105,0.94908,0.88844,0.95649,0.68135,1.08053,0.43637,0.014,0.000693125,0.000693125,0.000693125
47,799.557,1.06236,0.50675,0.01092,0.93265,0.88704,0.95294,0.67097,1.13542,0.45554,0.01491,0.00068075,0.00068075,0.00068075
48,816.367,1.0875,0.50445,0.01083,0.95015,0.86745,0.94857,0.67757,1.11027,0.43296,0.01446,0.000668375,0.000668375,0.000668375
49,833.391,1.06901,0.52693,0.01071,0.93397,0.90272,0.95609,0.6892,1.05513,0.41053,0.01361,0.000656,0.000656,0.000656
50,850.32,1.04968,0.51172,0.01043,0.93207,0.89025,0.95056,0.68718,1.0769,0.40795,0.01388,0.000643625,0.000643625,0.000643625
51,867.178,1.04156,0.50895,0.0105,0.94956,0.90164,0.95691,0.68269,1.07363,0.41911,0.01393,0.00063125,0.00063125,0.00063125
52,883.863,1.04445,0.51499,0.01044,0.91802,0.90056,0.9522,0.68355,1.06616,0.43201,0.01374,0.000618875,0.000618875,0.000618875
53,900.738,1.04386,0.5261,0.01039,0.95274,0.88589,0.94717,0.69718,1.0706,0.44184,0.0138,0.0006065,0.0006065,0.0006065
54,917.648,1.04262,0.52793,0.01048,0.93528,0.89377,0.94839,0.69165,1.07931,0.42812,0.01419,0.000594125,0.000594125,0.000594125
55,934.525,1.02944,0.50786,0.01034,0.90907,0.92832,0.95294,0.68487,1.10557,0.42301,0.01417,0.00058175,0.00058175,0.00058175
56,951.373,1.02607,0.50214,0.01015,0.94335,0.91782,0.95293,0.68319,1.10131,0.43073,0.0144,0.000569375,0.000569375,0.000569375
57,968.169,1.02066,0.48842,0.01007,0.95485,0.88375,0.95074,0.68203,1.08225,0.41958,0.01394,0.000557,0.000557,0.000557
58,984.847,1.01723,0.49472,0.01006,0.94222,0.9048,0.95674,0.69146,1.10178,0.42111,0.01427,0.000544625,0.000544625,0.000544625
59,1001.69,1.00287,0.46523,0.00995,0.96139,0.90925,0.9634,0.6998,1.07154,0.39099,0.01379,0.00053225,0.00053225,0.00053225
60,1018.7,0.9992,0.47652,0.00983,0.93668,0.91472,0.961,0.68529,1.09003,0.40064,0.01409,0.000519875,0.000519875,0.000519875
61,1035.54,0.99542,0.46883,0.00991,0.96774,0.9091,0.96099,0.6993,1.05658,0.41432,0.01346,0.0005075,0.0005075,0.0005075
62,1052.32,1.00077,0.45983,0.0098,0.95482,0.92615,0.95839,0.69481,1.06183,0.39979,0.01374,0.000495125,0.000495125,0.000495125
63,1069.14,0.99939,0.46169,0.00979,0.93466,0.904,0.94913,0.6925,1.05507,0.43787,0.01353,0.00048275,0.00048275,0.00048275
64,1085.61,0.98405,0.45249,0.00974,0.92502,0.92657,0.96088,0.70159,1.05934,0.40874,0.01353,0.000470375,0.000470375,0.000470375
65,1102.65,0.98805,0.44757,0.00963,0.91843,0.92165,0.95965,0.68992,1.09088,0.43481,0.0139,0.000458,0.000458,0.000458
66,1119.75,0.96033,0.44965,0.0095,0.936,0.89687,0.9527,0.69582,1.0782,0.43143,0.01379,0.000445625,0.000445625,0.000445625
67,1136.83,0.95437,0.44617,0.00952,0.93396,0.93175,0.94955,0.68965,1.06731,0.44886,0.01364,0.00043325,0.00043325,0.00043325
68,1154.02,0.99242,0.4623,0.00993,0.95886,0.9066,0.96085,0.69721,1.05801,0.39278,0.01364,0.000420875,0.000420875,0.000420875
69,1171.25,0.98336,0.45392,0.00951,0.94924,0.93146,0.95889,0.70896,1.0519,0.4236,0.01338,0.0004085,0.0004085,0.0004085
70,1188.51,0.95555,0.43296,0.00928,0.9459,0.92029,0.96006,0.70233,1.08041,0.41279,0.01375,0.000396125,0.000396125,0.000396125
71,1205.89,0.94779,0.43282,0.00931,0.95986,0.88633,0.95592,0.69412,1.08356,0.4375,0.01383,0.00038375,0.00038375,0.00038375
72,1223.04,0.94699,0.42114,0.00931,0.95023,0.88627,0.95351,0.706,1.06356,0.42911,0.01354,0.000371375,0.000371375,0.000371375
73,1240.18,0.93586,0.43615,0.00932,0.96489,0.91048,0.95522,0.7122,1.06815,0.42214,0.01338,0.000359,0.000359,0.000359
74,1257.26,0.93135,0.44001,0.00913,0.96496,0.90513,0.96135,0.7099,1.05422,0.41019,0.01346,0.000346625,0.000346625,0.000346625
75,1274.3,0.9406,0.44124,0.00926,0.95983,0.88301,0.95602,0.70287,1.06553,0.40594,0.01341,0.00033425,0.00033425,0.00033425
76,1291.54,0.93972,0.41889,0.00889,0.9493,0.90462,0.95832,0.70699,1.07808,0.41468,0.01368,0.000321875,0.000321875,0.000321875
77,1308.66,0.91892,0.41882,0.00893,0.95294,0.93157,0.95774,0.70584,1.07038,0.41777,0.01358,0.0003095,0.0003095,0.0003095
78,1325.65,0.93098,0.41815,0.00898,0.94211,0.91325,0.96087,0.70677,1.07328,0.4151,0.01354,0.000297125,0.000297125,0.000297125
79,1342.71,0.91905,0.41397,0.00885,0.94974,0.90608,0.95686,0.6969,1.05818,0.42161,0.01348,0.00028475,0.00028475,0.00028475
80,1359.82,0.9101,0.40931,0.0089,0.94262,0.89083,0.95531,0.70411,1.06015,0.43297,0.01346,0.000272375,0.000272375,0.000272375
81,1377.13,0.91978,0.42112,0.00865,0.94054,0.89355,0.96062,0.71155,1.06007,0.42441,0.01343,0.00026,0.00026,0.00026
82,1394.29,0.8954,0.39097,0.00866,0.95713,0.90053,0.95893,0.706,1.07938,0.43827,0.01358,0.000247625,0.000247625,0.000247625
83,1411.28,0.90853,0.40649,0.00886,0.96517,0.88849,0.95604,0.69769,1.06899,0.41696,0.01347,0.00023525,0.00023525,0.00023525
84,1428.05,0.88818,0.38859,0.00856,0.96599,0.88942,0.95869,0.70763,1.06088,0.43066,0.01334,0.000222875,0.000222875,0.000222875
85,1445.26,0.88709,0.39842,0.00865,0.94734,0.89218,0.94954,0.70195,1.05441,0.42179,0.01335,0.0002105,0.0002105,0.0002105
86,1462.6,0.88183,0.4044,0.00855,0.94781,0.89768,0.95087,0.70484,1.04592,0.43495,0.01323,0.000198125,0.000198125,0.000198125
87,1479.84,0.90033,0.39731,0.00864,0.95607,0.91222,0.95674,0.7064,1.04954,0.43807,0.01325,0.00018575,0.00018575,0.00018575
88,1496.89,0.89125,0.39688,0.00876,0.95898,0.89979,0.95123,0.70908,1.04725,0.42659,0.01319,0.000173375,0.000173375,0.000173375
89,1514.04,0.86869,0.39168,0.00817,0.95652,0.89084,0.95634,0.71407,1.04191,0.41274,0.01307,0.000161,0.000161,0.000161
90,1531.09,0.8717,0.39544,0.00825,0.96138,0.89592,0.95708,0.70887,1.04457,0.4171,0.01309,0.000148625,0.000148625,0.000148625
91,1579.28,0.79709,0.28256,0.0098,0.94589,0.89594,0.95291,0.70392,1.06092,0.435,0.01338,0.00013625,0.00013625,0.00013625
92,1596.44,0.78306,0.25624,0.00943,0.94322,0.92014,0.95179,0.70108,1.06367,0.43941,0.01343,0.000123875,0.000123875,0.000123875
93,1613.43,0.77259,0.25337,0.00918,0.95587,0.89963,0.95213,0.70198,1.07741,0.44532,0.01365,0.0001115,0.0001115,0.0001115
94,1630.35,0.75773,0.25198,0.00902,0.95402,0.90137,0.94884,0.69916,1.0719,0.43809,0.01353,9.9125e-05,9.9125e-05,9.9125e-05
95,1647.4,0.74672,0.25248,0.00903,0.93043,0.92456,0.9499,0.70238,1.06589,0.44098,0.01343,8.675e-05,8.675e-05,8.675e-05
96,1664.36,0.7459,0.25066,0.00878,0.9491,0.89673,0.95077,0.70302,1.06217,0.44139,0.01339,7.4375e-05,7.4375e-05,7.4375e-05
97,1681.36,0.73887,0.25054,0.0088,0.93995,0.90511,0.95124,0.70755,1.06126,0.44249,0.01344,6.2e-05,6.2e-05,6.2e-05
98,1698.45,0.73892,0.246,0.00875,0.9577,0.89528,0.951,0.70698,1.061,0.44146,0.01335,4.9625e-05,4.9625e-05,4.9625e-05
99,1715.5,0.73675,0.24751,0.00876,0.95884,0.90121,0.95217,0.70604,1.06052,0.44277,0.01336,3.725e-05,3.725e-05,3.725e-05
100,1732.4,0.73728,0.24273,0.00862,0.96795,0.8965,0.95175,0.70776,1.05611,0.44057,0.01336,2.4875e-05,2.4875e-05,2.4875e-05
