epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,422.142,1.07448,0.62258,1.11932,0.94372,0.90968,0.95328,0.64882,1.13819,0.53106,1.07639,0.000742625,0.000742625,0.000742625
43,431.932,1.06816,0.60898,1.10761,0.9419,0.92608,0.96413,0.66341,1.09021,0.50887,1.05245,0.00073025,0.00073025,0.00073025
44,441.728,1.05587,0.62049,1.10907,0.93795,0.90966,0.95788,0.68134,1.06168,0.51836,1.03277,0.000717875,0.000717875,0.000717875
45,451.566,1.0485,0.59412,1.10165,0.92116,0.91015,0.96164,0.67726,1.05681,0.51019,1.03539,0.0007055,0.0007055,0.0007055
46,461.408,1.05467,0.60044,1.10076,0.91204,0.9023,0.95204,0.66949,1.08515,0.53147,1.05078,0.000693125,0.000693125,0.000693125
47,471.243,1.03394,0.57804,1.09675,0.96788,0.92257,0.96366,0.66758,1.09558,0.51094,1.06308,0.00068075,0.00068075,0.00068075
48,480.838,1.06537,0.58689,1.09974,0.93935,0.90518,0.9424,0.65614,1.09565,0.52163,1.04895,0.000668375,0.000668375,0.000668375
49,490.565,1.04534,0.59864,1.09921,0.93131,0.94235,0.96958,0.67352,1.07899,0.49769,1.03641,0.000656,0.000656,0.000656
50,500.42,1.02545,0.58009,1.08709,0.96299,0.92913,0.96081,0.66781,1.07448,0.5016,1.04229,0.000643625,0.000643625,0.000643625
51,510.248,1.01081,0.57317,1.08891,0.93366,0.92499,0.9634,0.68297,1.07087,0.50111,1.03413,0.00063125,0.00063125,0.00063125
52,519.91,1.02107,0.57869,1.08568,0.93208,0.90934,0.9546,0.66767,1.08059,0.51075,1.0375,0.000618875,0.000618875,0.000618875
53,529.579,1.02597,0.58478,1.0914,0.94529,0.92839,0.95022,0.67909,1.04794,0.49226,1.01452,0.0006065,0.0006065,0.0006065
54,539.225,1.02191,0.57721,1.09224,0.93179,0.95789,0.952,0.67634,1.06356,0.50174,1.03099,0.000594125,0.000594125,0.000594125
55,548.852,1.0176,0.57929,1.08989,0.95269,0.91849,0.96133,0.67992,1.07644,0.50649,1.04047,0.00058175,0.00058175,0.00058175
56,558.504,1.02013,0.56314,1.08637,0.953,0.92506,0.95968,0.67162,1.08263,0.50104,1.04501,0.000569375,0.000569375,0.000569375
57,568.775,1.0028,0.55926,1.07674,0.93218,0.94218,0.95595,0.67621,1.05947,0.48242,1.03741,0.000557,0.000557,0.000557
58,578.505,0.99546,0.56056,1.08225,0.92343,0.96269,0.95856,0.68376,1.04993,0.49203,1.03295,0.000544625,0.000544625,0.000544625
59,588.176,0.99056,0.54204,1.07662,0.94298,0.96997,0.9675,0.68069,1.05686,0.47508,1.03698,0.00053225,0.00053225,0.00053225
60,597.847,0.99495,0.55614,1.07904,0.94646,0.94076,0.95611,0.68142,1.04816,0.4746,1.02841,0.000519875,0.000519875,0.000519875
61,607.524,0.98035,0.54552,1.06808,0.94163,0.93256,0.9583,0.69071,1.06553,0.47313,1.02745,0.0005075,0.0005075,0.0005075
62,617.253,0.98061,0.54633,1.06735,0.95683,0.94527,0.96711,0.69211,1.0416,0.47211,1.02768,0.000495125,0.000495125,0.000495125
63,627.24,0.97377,0.53043,1.06718,0.93801,0.94622,0.96843,0.70094,1.04364,0.46469,1.02861,0.00048275,0.00048275,0.00048275
64,637.051,0.96599,0.53839,1.06382,0.94129,0.92104,0.96017,0.68287,1.05198,0.47842,1.03327,0.000470375,0.000470375,0.000470375
65,646.878,0.96663,0.52306,1.06464,0.92235,0.95544,0.96454,0.69754,1.05973,0.46532,1.03283,0.000458,0.000458,0.000458
66,656.565,0.95605,0.52599,1.05667,0.93428,0.93001,0.96469,0.6956,1.03944,0.468,1.01652,0.000445625,0.000445625,0.000445625
67,666.284,0.95539,0.51348,1.061,0.93835,0.93501,0.95983,0.69286,1.03972,0.46372,1.02573,0.00043325,0.00043325,0.00043325
