               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.03562,            0.010073,           0.0048813,             0.91187,             0.89185,             0.93898,             0.54427,            0.028053,           0.0047755,           0.0028236,            0.006535,            0.006535,            0.006535
                  37,            0.036163,           0.0099934,           0.0051298,             0.90104,             0.87763,             0.92521,             0.53359,            0.028044,           0.0048795,            0.003132,            0.006436,            0.006436,            0.006436
                  38,            0.035288,           0.0098473,           0.0044848,             0.92816,             0.88158,             0.94031,             0.55789,            0.027893,           0.0047305,           0.0024884,            0.006337,            0.006337,            0.006337
                  39,            0.035234,           0.0097034,           0.0042049,             0.93275,             0.90918,             0.94643,             0.56547,            0.027388,           0.0046692,           0.0024307,            0.006238,            0.006238,            0.006238
                  40,            0.035391,           0.0097426,            0.004279,             0.94618,              0.8937,             0.94994,             0.57322,             0.02775,           0.0046087,           0.0023746,            0.006139,            0.006139,            0.006139
                  41,            0.035058,            0.009766,           0.0040583,             0.91466,             0.91058,             0.94845,             0.56216,            0.027387,           0.0045675,           0.0024597,             0.00604,             0.00604,             0.00604
                  42,            0.034866,           0.0095102,           0.0041297,             0.92652,             0.90904,             0.95104,             0.56947,            0.027284,           0.0046295,           0.0024094,            0.005941,            0.005941,            0.005941
                  43,            0.034276,           0.0096357,            0.004605,              0.9343,             0.91791,             0.95275,             0.57897,            0.026625,           0.0044926,           0.0029379,            0.005842,            0.005842,            0.005842
                  44,            0.034244,           0.0095169,           0.0040243,             0.93257,             0.91307,             0.94943,               0.574,            0.026791,           0.0045323,           0.0026581,            0.005743,            0.005743,            0.005743
                  45,            0.033759,           0.0095235,           0.0039616,             0.94188,              0.9079,             0.95105,              0.5829,             0.02591,           0.0043965,           0.0021627,            0.005644,            0.005644,            0.005644
                  46,            0.033853,           0.0094114,           0.0037526,             0.93079,             0.91535,             0.95276,             0.58721,            0.025789,           0.0044829,           0.0024151,            0.005545,            0.005545,            0.005545
                  47,            0.033852,           0.0092945,           0.0040741,             0.93227,              0.9088,             0.95594,             0.59133,            0.026016,           0.0043745,           0.0021614,            0.005446,            0.005446,            0.005446
                  48,            0.033371,            0.009368,           0.0038731,             0.92298,             0.92445,              0.9584,             0.59267,            0.026014,           0.0043956,           0.0022797,            0.005347,            0.005347,            0.005347
                  49,            0.033457,           0.0092451,           0.0034818,             0.94048,             0.91843,             0.95599,             0.59569,            0.025597,           0.0043666,            0.002275,            0.005248,            0.005248,            0.005248
                  50,             0.03331,            0.009279,           0.0040475,             0.93866,             0.92219,             0.95632,             0.59925,            0.025628,           0.0043668,           0.0021837,            0.005149,            0.005149,            0.005149
                  51,            0.032732,           0.0091701,           0.0037747,             0.93131,             0.92487,             0.95635,             0.60723,            0.025512,           0.0043143,           0.0021487,             0.00505,             0.00505,             0.00505
                  52,            0.033008,           0.0092347,           0.0034987,             0.95558,             0.91941,             0.95974,             0.61125,            0.025209,           0.0042686,            0.002009,            0.004951,            0.004951,            0.004951
                  53,            0.032647,           0.0091436,            0.003578,             0.93331,             0.91258,             0.95342,             0.59968,            0.025252,           0.0043398,            0.002037,            0.004852,            0.004852,            0.004852
                  54,            0.032689,           0.0091384,           0.0041577,             0.94168,             0.92539,             0.96276,             0.60575,            0.025246,           0.0042299,           0.0021631,            0.004753,            0.004753,            0.004753
