               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097659,            0.027121,            0.037194,           0.0011559,             0.19473,          0.00083525,          0.00021408,             0.07316,            0.016434,            0.030579,            0.070238,           0.0033069,           0.0033069
                   1,            0.083906,            0.024246,            0.033929,             0.36598,            0.031113,            0.010057,           0.0023581,            0.068987,            0.013508,            0.030162,            0.040172,           0.0065745,           0.0065745
                   2,            0.077508,            0.023689,            0.025899,             0.37595,            0.056551,             0.03767,           0.0088688,            0.064778,            0.037599,            0.032818,            0.010041,           0.0097761,           0.0097761
                   3,            0.070988,            0.022883,            0.019193,             0.20208,             0.25639,            0.076042,            0.017821,            0.059457,            0.015254,            0.026717,            0.009703,            0.009703,            0.009703
                   4,            0.065254,            0.022574,            0.016182,             0.21898,             0.40283,             0.20898,            0.065763,            0.050654,            0.014865,            0.015237,            0.009703,            0.009703,            0.009703
                   5,            0.061461,            0.021784,            0.014055,             0.26602,             0.43157,             0.28311,            0.094892,            0.046701,            0.014563,            0.013146,            0.009604,            0.009604,            0.009604
                   6,            0.058475,            0.021418,            0.011834,             0.29464,             0.29431,              0.2003,            0.056208,            0.051761,            0.013727,             0.01036,            0.009505,            0.009505,            0.009505
                   7,            0.055118,            0.020994,            0.011229,             0.53348,             0.56581,             0.53282,              0.2048,            0.042521,            0.011625,           0.0076084,            0.009406,            0.009406,            0.009406
                   8,            0.054279,            0.020136,            0.010579,             0.45076,             0.52672,             0.43899,             0.14886,            0.045465,              0.0117,           0.0092717,            0.009307,            0.009307,            0.009307
                   9,            0.052607,            0.019697,           0.0099664,             0.58084,             0.60618,             0.57925,             0.23049,            0.040256,            0.010973,           0.0066103,            0.009208,            0.009208,            0.009208
                  10,            0.050961,            0.019593,           0.0092425,             0.64513,             0.63853,             0.63213,             0.27284,            0.038667,            0.011678,           0.0084127,            0.009109,            0.009109,            0.009109
                  11,            0.049804,            0.018823,           0.0088073,             0.53945,             0.46654,             0.48071,              0.1669,             0.04467,            0.011868,             0.01618,             0.00901,             0.00901,             0.00901
                  12,            0.048661,            0.018833,           0.0085048,             0.70367,             0.60311,             0.68211,             0.29574,            0.038985,            0.011013,           0.0053566,            0.008911,            0.008911,            0.008911
                  13,            0.047252,            0.018242,           0.0078135,             0.71991,             0.61691,             0.69243,             0.28896,            0.040437,            0.010982,           0.0065028,            0.008812,            0.008812,            0.008812
                  14,            0.046457,            0.018315,           0.0079956,             0.77076,             0.72885,              0.7752,             0.35405,            0.036595,           0.0097624,           0.0042103,            0.008713,            0.008713,            0.008713
                  15,            0.045678,            0.017748,           0.0081685,             0.74917,             0.72326,             0.79084,              0.3468,            0.036854,           0.0095681,           0.0042061,            0.008614,            0.008614,            0.008614
                  16,            0.045191,            0.017799,           0.0075086,             0.76345,             0.71716,             0.78618,             0.37024,            0.035691,           0.0097781,           0.0059416,            0.008515,            0.008515,            0.008515
                  17,            0.044972,            0.017499,           0.0073029,             0.73431,             0.73856,             0.78252,             0.36494,            0.035415,           0.0096933,           0.0044648,            0.008416,            0.008416,            0.008416
                  18,            0.044201,            0.017243,           0.0071575,             0.80952,             0.72014,             0.81581,             0.39566,            0.034317,           0.0094088,           0.0047194,            0.008317,            0.008317,            0.008317
                  19,            0.043284,            0.017167,           0.0062737,               0.824,             0.75655,             0.84783,             0.42099,            0.033339,           0.0090382,           0.0034736,            0.008218,            0.008218,            0.008218
                  20,            0.042847,            0.016912,           0.0064334,             0.84327,             0.79245,             0.87112,               0.451,            0.033263,           0.0086631,           0.0032916,            0.008119,            0.008119,            0.008119
                  21,            0.042465,            0.016592,           0.0064167,             0.84178,             0.78734,             0.86587,             0.43855,            0.031873,           0.0090829,           0.0035918,             0.00802,             0.00802,             0.00802
                  22,            0.042086,            0.016525,           0.0059257,             0.85178,              0.7994,             0.87799,             0.46525,            0.031561,           0.0085987,           0.0030163,            0.007921,            0.007921,            0.007921
                  23,            0.040978,             0.01622,           0.0059298,             0.86659,             0.83386,             0.89682,             0.47318,            0.031561,           0.0087372,           0.0037432,            0.007822,            0.007822,            0.007822
                  24,            0.041233,            0.016235,           0.0062459,             0.86913,             0.82337,             0.90047,              0.4818,            0.030867,           0.0083159,           0.0037378,            0.007723,            0.007723,            0.007723
                  25,            0.041217,            0.016214,           0.0061056,              0.8663,             0.80981,             0.88178,             0.45607,            0.033176,           0.0083449,            0.002932,            0.007624,            0.007624,            0.007624
                  26,            0.040838,             0.01588,           0.0054757,             0.86816,             0.81779,             0.89439,             0.48308,            0.031488,           0.0085028,           0.0031791,            0.007525,            0.007525,            0.007525
                  27,             0.04029,             0.01579,           0.0058371,             0.84796,             0.80454,             0.87297,             0.45968,            0.031343,           0.0085119,           0.0039438,            0.007426,            0.007426,            0.007426
                  28,            0.039889,            0.015877,           0.0058135,             0.89343,             0.85446,              0.9221,             0.50401,            0.030509,           0.0078613,           0.0025757,            0.007327,            0.007327,            0.007327
                  29,            0.039734,            0.015498,           0.0059135,             0.88486,              0.8169,             0.90465,             0.48066,            0.032282,           0.0080515,           0.0020769,            0.007228,            0.007228,            0.007228
                  30,            0.039535,            0.015517,           0.0059787,             0.87377,             0.85123,             0.91459,             0.50891,            0.030023,           0.0081204,           0.0028549,            0.007129,            0.007129,            0.007129
                  31,            0.038759,            0.015229,           0.0049975,               0.881,             0.84579,             0.91385,             0.50805,            0.029468,             0.00801,           0.0021584,             0.00703,             0.00703,             0.00703
                  32,            0.038427,            0.015188,           0.0047665,              0.9126,             0.88188,             0.93475,              0.5274,            0.029016,           0.0077066,           0.0023519,            0.006931,            0.006931,            0.006931
                  33,             0.03819,            0.014877,           0.0054335,             0.92466,             0.86596,             0.93492,             0.54171,            0.028857,           0.0074292,           0.0025234,            0.006832,            0.006832,            0.006832
                  34,            0.037692,            0.015088,           0.0044623,             0.91757,             0.86722,             0.93547,             0.53046,             0.02903,           0.0075762,           0.0025568,            0.006733,            0.006733,            0.006733
                  35,            0.037588,            0.014808,           0.0047089,             0.89003,             0.87825,             0.93494,             0.54476,            0.028617,           0.0076268,           0.0030663,            0.006634,            0.006634,            0.006634
                  36,            0.037307,            0.014974,           0.0047606,             0.90923,             0.85268,             0.92866,              0.5226,            0.029695,           0.0075177,           0.0025866,            0.006535,            0.006535,            0.006535
                  37,            0.037847,            0.014727,           0.0051856,             0.91065,             0.86385,             0.93241,             0.53317,            0.028531,           0.0073775,           0.0021113,            0.006436,            0.006436,            0.006436
