epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1179,1.13709,5.61442,0.01361,0.63923,0.68143,0.72318,0.47931,1.1421,3.3374,0.01732,0.000472553,0.000472553,0.000472553
2,56.8126,1.26196,2.91226,0.01496,0.75454,0.77648,0.84042,0.53637,1.24916,0.92306,0.01961,0.000939492,0.000939492,0.000939492
3,82.8058,1.3,1.72643,0.01582,0.76027,0.76356,0.84061,0.52846,1.32561,0.93493,0.0215,0.001397,0.001397,0.001397
4,108.851,1.36387,1.32778,0.01646,0.82662,0.78284,0.88043,0.53936,1.33911,0.82611,0.0213,0.00138656,0.00138656,0.00138656
5,135.295,1.31557,1.1197,0.01593,0.83914,0.84846,0.91319,0.58966,1.25936,0.67524,0.02052,0.00137241,0.00137241,0.00137241
6,162.425,1.29028,1.01295,0.01592,0.85955,0.83861,0.91669,0.59795,1.26734,0.67936,0.02149,0.00135826,0.00135826,0.00135826
7,191.481,1.28075,0.94753,0.01517,0.88188,0.82813,0.91558,0.61991,1.18948,0.65305,0.01845,0.00134412,0.00134412,0.00134412
8,225.166,1.26139,0.91683,0.01512,0.8751,0.84866,0.92486,0.61073,1.25081,0.62406,0.01997,0.00132997,0.00132997,0.00132997
9,254.736,1.24661,0.87608,0.01506,0.87762,0.88528,0.93775,0.61817,1.23763,0.59189,0.01904,0.00131582,0.00131582,0.00131582
10,279.257,1.24396,0.83971,0.01494,0.84611,0.8401,0.91614,0.61884,1.21547,0.68979,0.01907,0.00130168,0.00130168,0.00130168
11,303.929,1.2194,0.813,0.01459,0.88157,0.89368,0.94296,0.63939,1.17535,0.54142,0.01846,0.00128753,0.00128753,0.00128753
12,327.884,1.21142,0.80729,0.0145,0.87934,0.8641,0.92796,0.63063,1.19221,0.58754,0.01867,0.00127338,0.00127338,0.00127338
13,352.376,1.23384,0.78456,0.0146,0.88669,0.89186,0.94354,0.63509,1.20648,0.55731,0.01874,0.00125923,0.00125923,0.00125923
14,376.94,1.22752,0.78333,0.01489,0.93238,0.88266,0.95818,0.66197,1.20176,0.49189,0.01926,0.00124509,0.00124509,0.00124509
